master_id,hubspot_id,account_id,vitally_id,confidence_tier,company_name,domain,segment,industry,plan,state,csm_owner,signup_date,mrr_mxn,mrr_source,mrr_confidence,mrr_original,currency_original,churn_date,churn_status,reference_month
0014df720942,HS-100421,ACC-2420,cus_100420,T1,Club Mascareñas-Moya,club870.com.mx,Mid-Market,Manufactura,Pro,Puebla,Fernanda Solís,2023-04-10,12583.00,crm,high,12583.00,MXN,,active,2024-08
0044b4ee820c,HS-100017,ACC-2016,cus_100016,T1,"Club Badillo, Ruelas y Almonte",club774.com.mx,SMB,Retail,Basico,Estado de México,Diego Ortega,2024-05-18,2385.00,crm,high,2385.00,MXN,,active,2024-08
00902f986641,HS-100325,ACC-2324,cus_100324,T1,"Zayas, Guajardo y García",zayas588.com.mx,Enterprise,Automotriz,Premium,Nuevo León,Ana Ruiz,2022-07-07,76410.00,crm,high,76410.00,MXN,,active,2024-08
00a8d71c23f4,HS-100064,ACC-2063,cus_100063,T1,Ybarra y Alcaraz S.C.,ybarra40.com.mx,SMB,Logística,Basico,Estado de México,Marta Díaz,2024-06-09,2888.00,crm,high,2888.00,MXN,,active,2024-08
00fd17d94d91,HS-100010,ACC-2009,cus_100009,T1,"Proyectos Zamora, Amaya y Rosales",proyectos380.com.mx,Mid-Market,Tecnología,Pro,Jalisco,Fernanda Solís,2023-06-23,15865.00,crm,high,15865.00,MXN,,active,2024-08
00fe53692ca1,HS-100454,ACC-2453,cus_100453,T1,Despacho Gamboa y Espinoza,despacho982.com.mx,Enterprise,Manufactura,Premium,Querétaro,Fernanda Solís,2024-01-22,73127.00,crm,high,73127.00,MXN,,active,2024-08
0196867379d8,HS-100062,ACC-2061,cus_100061,T1,"Proyectos Olvera, Llamas y Huerta",proyectos360.com.mx,SMB,Logística,Basico,Chihuahua,Diego Ortega,2024-04-21,7255.00,crm,high,7255.00,MXN,,active,2024-08
02382e1b34e3,HS-100407,ACC-2406,cus_100406,T1,Marroquín y Mercado A.C.,marroquín837.com.mx,SMB,Logística,Basico,Sonora,Luis Peña,2023-10-19,8437.00,crm,high,8437.00,MXN,2024-05-10,churned,2024-05
034cefcecc7f,HS-100253,ACC-2252,cus_100252,T1,Proyectos Mateo y Tejeda,proyectos585.com.mx,Mid-Market,Construcción,Pro,Guanajuato,Carla Nuñez,2023-07-16,15137.00,crm,high,15137.00,MXN,,active,2024-08
03ba89cf14b9,HS-100273,ACC-2272,cus_100272,T1,Zepeda-Partida,zepedapartid936.com.mx,Mid-Market,Educación,Pro,Yucatán,Fernanda Solís,2022-07-15,12858.00,crm,high,12858.00,MXN,,active,2024-08
03e9e800144c,HS-100545,ACC-2544,cus_100544,T1,"Cervántez, Esparza y Oquendo",cervántez995.com.mx,Mid-Market,Educación,Pro,Chihuahua,Diego Ortega,2023-03-08,16455.00,crm,high,16455.00,MXN,2023-11-21,churned,2023-11
04887d0f3f7c,HS-100607,ACC-2606,cus_100606,T1,Alcala-Magaña,alcalamagaña369.com.mx,SMB,Logística,Basico,CDMX,Ana Ruiz,2022-10-10,8566.00,crm,high,8566.00,MXN,,active,2024-08
05f6a68d13dc,HS-100294,ACC-2293,cus_100293,T2,Serrato-Lomeli,serratolomel126.com.mx,SMB,Alimentos,Basico,Estado de México,Marta Díaz,2022-12-15,4191.00,crm,high,4191.00,MXN,2023-03-10,churned,2023-03
062df55dccb8,HS-100126,ACC-2125,cus_100125,T1,"Grupo Alva, Linares y Mendoza",grupo847.com.mx,SMB,Logística,Basico,Sonora,Carla Nuñez,2022-12-20,3165.00,crm,high,3165.00,MXN,2023-07-25,churned,2023-07
068871d26770,HS-100209,ACC-2208,cus_100208,T1,Laboratorios Valdivia-Ornelas,laboratorios614.com.mx,SMB,Educación,Basico,Nuevo León,Luis Peña,2022-07-07,2448.00,crm,high,2448.00,MXN,,active,2024-08
07834c81ea07,HS-100161,ACC-2160,cus_100160,T1,Covarrubias-Rosario S.A. de C.V.,covarrubiasr586.com.mx,SMB,Educación,Basico,CDMX,Marta Díaz,2022-01-06,4940.00,crm,high,4940.00,MXN,,active,2024-08
078d848b2f9f,HS-100042,ACC-2041,cus_100041,T1,Maldonado-Bueno,maldonadobue984.com.mx,SMB,Manufactura,Basico,Puebla,Fernanda Solís,2022-11-23,6160.00,crm,high,6160.00,MXN,2023-04-01,churned,2023-04
08513678e63b,HS-100643,ACC-2642,cus_100642,T1,"Prado, Ozuna y Orellana",prado772.com.mx,SMB,Construcción,Basico,Sonora,Ana Ruiz,2023-02-10,6433.00,crm,high,6433.00,MXN,,active,2024-08
093598bb9373,HS-100490,ACC-2489,cus_100489,T1,Manzanares y Zapata y Asociados,manzanares211.com.mx,Enterprise,Retail,Premium,Nuevo León,Ana Ruiz,2022-01-11,55513.00,crm,high,55513.00,MXN,,active,2024-08
0950a3eaca02,HS-100340,ACC-2339,cus_100339,T1,Prado-Castillo A.C.,pradocastill458.com.mx,SMB,Servicios Financieros,Basico,CDMX,Ana Ruiz,2023-01-24,6326.00,crm,high,6326.00,MXN,,active,2024-08
09a2a58e60b9,HS-100103,ACC-2102,cus_100102,T1,Industrias Ramos-Tejeda,industrias331.com.mx,SMB,Logística,Basico,Yucatán,Marta Díaz,2022-06-20,8977.00,crm,high,8977.00,MXN,,active,2024-08
0a2107e049f9,HS-100159,ACC-2158,cus_100158,T1,Chapa S.C.,chapa453.com.mx,SMB,Retail,Basico,Querétaro,Fernanda Solís,2022-11-27,4830.00,crm,high,4830.00,MXN,,active,2024-08
0aa90d008a95,HS-100068,ACC-2067,cus_100067,T1,Club Montemayor-Godoy,club922.com.mx,Mid-Market,Agroindustria,Pro,Estado de México,Marta Díaz,2023-01-24,25617.00,crm,high,25617.00,MXN,,active,2024-08
0b0baf334770,HS-100402,ACC-2401,cus_100401,T1,Flores-Reyes S. R.L. de C.V.,floresreyes802.com.mx,Enterprise,Alimentos,Premium,Yucatán,Fernanda Solís,2022-06-10,44495.00,crm,high,44495.00,MXN,,active,2024-08
0b0c556bec93,HS-100348,ACC-2347,cus_100347,T2,Zelaya y Marrero S. R.L. de C.V.,zelaya385.com.mx,SMB,Educación,Basico,Jalisco,Marta Díaz,2022-10-19,31884.00,imputed_from_deal,medium,,MXN,,active,2024-08
0b42fd3d0ae2,HS-100167,ACC-2166,cus_100166,T1,Collazo-Prieto,collazopriet206.com.mx,SMB,Tecnología,Basico,Chihuahua,Carla Nuñez,2022-07-11,3082.00,crm,high,3082.00,MXN,,active,2024-08
0b632556c614,HS-100134,ACC-2133,cus_100133,T1,Pizarro S.A.,pizarro466.com.mx,SMB,Manufactura,Basico,Estado de México,Diego Ortega,2024-04-02,2721.00,crm,high,2721.00,MXN,,active,2024-08
0c0316a141aa,HS-100628,ACC-2627,cus_100627,T1,Santillán S.C.,santillán761.com.mx,Mid-Market,Agroindustria,Pro,Puebla,Luis Peña,2022-08-16,22409.00,crm,high,22409.00,MXN,,active,2024-08
0c092b55cb21,HS-100637,ACC-2636,cus_100636,T1,Cavazos y Quiroz S.A. de C.V.,cavazos755.com.mx,SMB,Agroindustria,Basico,Guanajuato,Marta Díaz,2023-01-21,6534.00,crm,high,6534.00,MXN,2024-03-21,churned,2024-03
0c9833234628,HS-100252,ACC-2251,cus_100251,T1,Casárez-Granado,casárezgrana248.com.mx,SMB,Hospitalidad,Basico,Guanajuato,Carla Nuñez,2022-03-04,7886.00,crm,high,7886.00,MXN,,active,2024-08
0cba696d8c85,HS-100251,ACC-2250,cus_100250,T1,Carrillo-Ceja,carrilloceja114.com.mx,SMB,Retail,Basico,Chihuahua,Fernanda Solís,2024-05-27,8854.00,crm,high,8854.00,MXN,,active,2024-08
0d4cd09dfa99,HS-100221,ACC-2220,cus_100220,T1,Negrete-Acosta,negreteacost885.com.mx,Mid-Market,Salud,Pro,Yucatán,Jorge Ibarra,2022-09-04,19359.00,crm,high,19359.00,MXN,,active,2024-08
0d6202950750,HS-100152,ACC-2151,cus_100151,T1,Narváez-Casillas S. R.L. de C.V.,narváezcasil978.com.mx,SMB,Educación,Basico,Jalisco,Carla Nuñez,2023-10-12,4594.00,crm,high,4594.00,MXN,,active,2024-08
0df07dc09d21,HS-100456,ACC-2455,cus_100455,T1,Verdugo y Esquibel S.C.,verdugo926.com.mx,SMB,Automotriz,Basico,Puebla,Marta Díaz,2022-01-02,7315.00,crm,high,7315.00,MXN,,active,2024-08
0e7b9d22a314,HS-100306,ACC-2305,cus_100305,T2,Borrego y Arenas S.C.,borrego403.com.mx,Enterprise,Tecnología,Premium,Chihuahua,Diego Ortega,2023-03-01,66910.00,crm,high,66910.00,MXN,,active,2024-08
0f42092743f1,HS-100626,ACC-2625,cus_100625,T1,Almaraz y Sanches S.A.,almaraz100.com.mx,SMB,Retail,Basico,Querétaro,Diego Ortega,2022-01-12,8220.00,imputed_from_deal,medium,,MXN,,active,2024-08
0f853c61d098,HS-100300,ACC-2299,cus_100299,T1,Laboratorios Villalpando y Limón,laboratorios375.com.mx,SMB,Educación,Basico,Guanajuato,Luis Peña,2023-07-20,2370.00,crm,high,2370.00,MXN,,active,2024-08
0f9a82123cbe,HS-100202,ACC-2201,cus_100201,T1,Elizondo-Vergara S.A.,elizondoverg185.com.mx,SMB,Manufactura,Basico,Nuevo León,Ana Ruiz,2023-06-09,4238.00,crm,high,4238.00,MXN,,active,2024-08
0fda0433e133,HS-100472,ACC-2471,cus_100471,T1,Industrias Delgadillo-Vaca,industrias656.com.mx,Enterprise,Retail,Premium,Querétaro,Ana Ruiz,2024-04-04,68373.00,crm,high,68373.00,MXN,,active,2024-08
108f213736fb,HS-100204,ACC-2203,cus_100203,T1,Proyectos Amaya y Osorio,proyectos386.com.mx,Enterprise,Construcción,Premium,Guanajuato,Marta Díaz,2022-04-05,50340.00,crm,high,50340.00,MXN,,active,2024-08
